,Total ESB Connections - Monthly by area  2006-2013,,,,,,,,,,,,,,,,,,,,,,,,,,Total ESB Connections - Monthly by area  2006-2013,,,,,,,,,,,,,,,,,,,,,,,,,,Total ESB Connections - Monthly by area  2006-2013,,,,,,,,,,,,,,,,,,,,,,,,,,Total ESB Connections - Monthly by area  2006-2013,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,,,,,,,,,,,2007,,,,,,,,,,,,,2008,,,,,,,,,,,,,2009,,,,,,,,,,,,,2010,,,,,,,,,,,,,2011,,,,,,,,,,,,,2012,,,,,,,,,,,,,2013,,,,,,,,,,,,
County Councils,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total
Carlow,70,81,113,56,97,125,158,141,96,142,182,60,"1,321",52,142,126,101,176,97,89,61,72,59,62,106,"1,143",44,61,38,94,39,51,43,71,33,49,72,40,635,19,36,50,45,31,55,26,20,29,53,35,24,423,16,13,12,18,17,8,9,13,18,29,50,27,230,10,10,6,8,6,23,41,17,9,29,17,13,189,7,12,8,9,10,10,15,8,7,10,13,7,116,6,10,11,10,8,26,21,5,28,14,14,16,169
Cavan,149,208,197,261,201,248,308,199,237,203,259,219,"2,689",176,118,170,142,260,153,86,227,214,162,181,219,"2,108",124,90,111,75,62,92,129,67,90,62,86,74,"1,062",65,45,38,38,44,39,42,37,63,58,30,62,561,19,33,26,20,28,36,14,11,24,19,41,25,296,32,17,40,19,18,19,20,28,24,13,28,14,272,9,12,16,9,15,19,16,18,15,22,24,18,193,11,19,15,17,13,10,15,16,11,11,14,21,173
Clare,171,251,264,200,242,324,195,164,155,252,296,213,"2,727",122,237,197,192,188,159,163,151,161,255,258,203,"2,286",100,152,94,128,97,95,149,81,155,102,144,96,"1,393",95,82,99,53,54,43,77,43,43,53,67,56,765,21,49,57,117,100,34,31,40,29,32,40,42,592,19,28,27,16,26,24,23,20,25,32,32,22,294,37,20,14,12,22,21,14,27,21,23,24,21,256,12,12,22,21,22,15,19,14,13,19,26,20,215
Cork,588,615,676,554,702,602,702,592,630,810,900,705,"8,076",573,646,800,597,654,576,416,550,550,731,756,628,"7,477",421,515,381,404,431,483,413,488,392,393,435,335,"5,091",199,282,241,215,257,240,232,154,197,166,252,206,"2,641",93,128,209,145,162,119,179,135,140,94,177,117,"1,698",129,85,149,99,100,95,90,113,121,101,135,115,"1,332",69,71,85,62,105,63,79,87,84,74,98,88,965,51,56,54,69,83,67,86,77,82,81,90,67,863
Donegal,285,450,342,217,365,439,350,276,328,475,503,357,"4,387",344,370,321,380,295,400,264,284,423,358,372,353,"4,164",155,297,225,239,313,174,172,132,272,195,200,202,"2,576",126,186,132,122,143,146,150,91,159,100,156,178,"1,689",57,64,91,60,59,54,70,48,70,52,105,95,825,41,56,62,48,55,82,50,42,#42,49,45,38,610,57,60,42,34,37,40,45,50,36,34,33,43,511,17,41,34,29,40,31,29,33,35,42,41,28,400
Dun Laoghaire,241,172,260,138,251,278,134,329,155,148,162,204,"2,472",217,257,100,204,221,273,204,269,422,282,291,312,"3,052",335,230,86,235,185,262,168,168,115,127,76,100,"2,087",253,102,55,77,53,40,40,13,80,80,100,59,952,51,29,12,24,18,15,13,38,83,76,10,15,384,16,15,36,34,30,16,3,8,6,5,12,11,192,2,9,6,7,7,6,10,8,15,18,34,53,175,6,18,9,9,6,13,10,17,13,49,56,54,260
Fingal,305,566,550,481,484,399,488,385,560,479,623,543,"5,863",311,450,541,449,351,446,345,329,419,414,426,244,"4,725",204,205,82,192,189,129,131,153,190,274,187,213,"2,149",111,147,128,91,89,113,186,68,104,99,82,91,"1,309",75,36,67,20,41,28,28,49,40,65,58,33,540,21,93,69,110,27,56,30,69,73,44,40,30,662,22,23,35,17,22,48,35,27,17,25,47,46,364,17,30,32,21,44,22,55,14,30,33,54,43,395
Galway,324,404,400,348,307,368,470,274,380,357,437,443,"4,512",427,359,332,264,325,272,223,223,243,430,457,294,"3,849",188,210,179,213,177,112,155,218,278,165,209,228,"2,332",121,130,99,135,99,81,114,76,99,93,127,99,"1,273",56,102,67,70,59,56,57,54,75,64,82,83,825,42,50,60,45,46,62,47,38,68,37,58,67,620,41,32,40,51,42,25,34,40,37,48,42,35,467,24,42,38,38,28,21,37,23,49,56,42,28,426
